date,sku_id,on_hand_units,on_order_units,lead_time_days,reorder_point
2011-12-09,84077,7102,0,21,4735
2011-12-09,85099B,7780,0,21,5187
2011-12-09,21212,945,0,7,630
2011-12-09,85123A,714,1191,14,2383
2011-12-09,22197,10598,7570,21,15141
2011-12-09,84879,2466,0,7,1644
2011-12-09,23843,612322,1020537,21,2041074
2011-12-09,23166,750,0,14,500
2011-12-09,17003,1248,891,14,1783
2011-12-09,21977,673,0,7,449
2011-12-09,84991,1291,0,14,861
2011-12-09,22492,695,497,7,994
2011-12-09,15036,461,329,21,659
2011-12-09,20725,1292,923,21,1847
2011-12-09,84755,1425,0,21,950
2011-12-09,22178,6408,0,21,2136
2011-12-09,21213,69,115,7,231
2011-12-09,22616,4480,0,21,2987
2011-12-09,22386,160,267,7,535
2011-12-09,21232,1626,0,7,542
2011-12-09,84568,504,360,14,721
2011-12-09,21915,925,1543,14,3086
2011-12-09,84946,4366,0,21,2911
2011-12-09,85099F,897,0,7,299
2011-12-09,22086,21261,0,21,7087
2011-12-09,84992,948,0,14,632
2011-12-09,22952,1830,1307,14,2615
2011-12-09,71459,859,0,14,573
2011-12-09,21982,175,292,14,584
2011-12-09,22355,2662,0,14,1775
2011-12-09,84347,1467,1048,14,2096
2011-12-09,20724,2521,0,14,1681
2011-12-09,21080,276,460,21,921
2011-12-09,21975,1086,0,21,724
2011-12-09,21980,226,161,14,323
2011-12-09,85099C,353,252,7,505
2011-12-09,23084,7258,0,7,4839
2011-12-09,16014,1378,984,7,1969
2011-12-09,21731,189,315,7,631
2011-12-09,21931,349,582,21,1164
2011-12-09,22469,1572,0,7,524
2011-12-09,47566,83,139,7,278
2011-12-09,21790,7536,0,21,2512
2011-12-09,22151,504,0,7,336
2011-12-09,22411,2463,0,21,1642
2011-12-09,22423,1092,0,7,364
2011-12-09,21498,323,539,14,1078
2011-12-09,20727,3705,0,21,1235
2011-12-09,84970S,148,247,14,494
2011-12-09,21981,207,148,21,297
2011-12-09,21929,372,0,7,248
2011-12-09,21985,1047,0,14,349
2011-12-09,37410,6045,4318,7,8637
2011-12-09,21984,313,0,21,209
2011-12-09,22383,441,0,7,294
2011-12-09,21181,2677,0,21,1785
2011-12-09,20719,381,636,21,1273
