date,sku_id,units_sold,revenue,unit_price,promo_flag
2009-12-01,10002,12,10.2,0.85,1
2009-12-01,10120,60,12.6,0.21,1
2009-12-01,10123C,3,3.9000000000000004,1.3,0
2009-12-01,10123G,2,3.4,1.7,0
2009-12-01,10125,5,5.1,1.275,1
2009-12-01,10133,6,5.1,0.85,1
2009-12-01,10135,17,21.25,1.25,1
2009-12-01,11001,2,6.86,3.43,0
2009-12-01,15034,3,1.1099999999999999,0.485,1
2009-12-01,15036,55,35.75,0.65,1
2009-12-01,15044B,1,2.95,2.95,1
2009-12-01,15044C,1,6.04,6.04,0
2009-12-01,15044D,5,24.020000000000003,4.495,1
2009-12-01,15056BL,18,107.10000000000001,5.95,1
2009-12-01,15056N,30,178.5,5.95,1
2009-12-01,15056P,1,5.95,5.95,1
2009-12-01,15056bl,1,13.0,13.0,0
2009-12-01,15059A,2,26.0,13.0,0
2009-12-01,16047,1,0.85,0.85,1
2009-12-01,16156N,25,10.5,0.42,0
2009-12-01,16156S,25,10.5,0.42,0
2009-12-01,16161C,100,10.0,0.1,0
2009-12-01,16161P,25,10.5,0.42,0
2009-12-01,16161U,25,10.5,0.42,0
2009-12-01,16169C,50,21.0,0.42,0
2009-12-01,16169D,75,31.5,0.42,0
2009-12-01,16169F,25,10.5,0.42,0
2009-12-01,16169N,25,10.5,0.42,0
2009-12-01,16207A,3,8.850000000000001,2.95,0
2009-12-01,16225,4,5.0,1.25,1
2009-12-01,16235,62,13.459999999999999,0.32,1
2009-12-01,16237,213,45.169999999999995,0.265,1
2009-12-01,16238,28,5.88,0.21,1
2009-12-01,17003,144,30.24,0.21,1
2009-12-01,17012A,1,5.17,5.17,0
2009-12-01,17084J,2,0.42,0.21,0
2009-12-01,17091J,1,1.25,1.25,1
2009-12-01,17108D,12,5.04,0.42,0
2009-12-01,17129D,1,1.7,1.7,0
2009-12-01,17164B,72,30.24,0.42,0
2009-12-01,17164D,326,122.52000000000001,0.4075,0
2009-12-01,17165B,301,258.45,0.9833333333333334,0
2009-12-01,17165D,116,100.2,0.95,0
2009-12-01,17181,10,51.7,5.17,0
2009-12-01,18010,6,2.52,0.42,1
2009-12-01,18096C,6,15.299999999999999,2.55,1
2009-12-01,18096c,2,10.34,5.17,0
2009-12-01,18097C,12,30.599999999999998,2.55,1
2009-12-01,18098C,1,2.95,2.95,1
2009-12-01,18098c,9,46.53,5.17,0
2009-12-01,20615,4,17.2,4.3,0
2009-12-01,20616,1,4.3,4.3,0
2009-12-01,20618,1,4.3,4.3,0
2009-12-01,20619,1,2.1,2.1,1
2009-12-01,20622,1,2.1,2.1,1
2009-12-01,20652,1,2.57,2.57,0
2009-12-01,20654,1,2.57,2.57,0
2009-12-01,20655,2,3.82,1.91,1
2009-12-01,20657,1,1.25,1.25,1
2009-12-01,20658,12,15.0,1.25,1
2009-12-01,20659,13,17.57,1.91,1
2009-12-01,20660,2,2.5,1.25,0
2009-12-01,20661,1,6.04,6.04,0
2009-12-01,20665,7,20.650000000000002,2.95,1
2009-12-01,20673,4,5.0,1.25,0
2009-12-01,20674,1,2.57,2.57,0
2009-12-01,20675,16,22.64,1.47,1
2009-12-01,20676,17,21.25,1.25,1
2009-12-01,20677,16,22.64,1.514,1
2009-12-01,20679,12,71.4,5.95,1
2009-12-01,20681,19,61.75,3.25,1
2009-12-01,20682,31,104.41,3.982,1
2009-12-01,20684,6,19.5,3.25,1
2009-12-01,20685,47,293.25,6.67,1
2009-12-01,20692,105,398.25,4.0,1
2009-12-01,20694,1,7.78,7.78,0
2009-12-01,20695,4,21.4,6.45,1
2009-12-01,20703,3,12.75,4.25,1
2009-12-01,20711,103,161.85,1.8199999999999998,1
2009-12-01,20712,29,70.64999999999999,2.42,1
2009-12-01,20713,6,11.7,1.95,1
2009-12-01,20714,1,2.57,2.57,0
2009-12-01,20716,3,3.75,1.25,1
2009-12-01,20718,33,41.25,1.25,1
2009-12-01,20719,34,29.75,1.02,1
2009-12-01,20723,30,25.5,0.85,1
2009-12-01,20724,113,98.6,0.9916666666666667,1
2009-12-01,20725,164,253.25,2.058333333333333,1
2009-12-01,20726,34,56.1,1.65,1
2009-12-01,20727,23,37.95,1.6499999999999997,1
2009-12-01,20728,44,72.6,1.6499999999999997,1
2009-12-01,20729,4,6.32,1.91,1
2009-12-01,20730,3,3.75,1.25,1
2009-12-01,20734,10,8.5,0.85,1
2009-12-01,20739,1,8.65,8.65,0
2009-12-01,20747,6,89.69999999999999,14.95,1
2009-12-01,20748,1,12.75,12.75,1
2009-12-01,20749,4,31.8,7.95,1
2009-12-01,20750,29,192.14999999999998,7.15,1
2009-12-01,20751,24,50.400000000000006,2.1,1
2009-12-01,20752,15,38.1,2.65,1
2009-12-01,20753,17,37.900000000000006,2.54,1
2009-12-01,20754,40,88.4,2.375,1
2009-12-01,20756,3,2.55,0.85,1
2009-12-01,20758,3,2.55,0.85,1
2009-12-01,20761,1,7.78,7.78,0
2009-12-01,20765,32,94.4,2.95,1
2009-12-01,20767,7,17.849999999999998,2.55,1
2009-12-01,20768,24,61.199999999999996,2.55,1
2009-12-01,20770,18,45.9,2.55,1
2009-12-01,20771,18,45.9,2.55,1
2009-12-01,20773,7,11.549999999999999,1.65,1
2009-12-01,20774,14,23.099999999999998,1.65,1
2009-12-01,20776,12,19.799999999999997,1.65,1
2009-12-01,20777,19,31.349999999999994,1.6499999999999997,1
2009-12-01,20780,1,11.26,11.26,0
2009-12-01,20782,3,28.009999999999998,8.375,1
2009-12-01,20783,1,11.26,11.26,0
2009-12-01,20784,1,78.22,78.22,0
2009-12-01,20798,3,12.899999999999999,4.3,0
2009-12-01,20799,3,12.899999999999999,4.3,0
2009-12-01,20804,12,25.14,2.54,1
2009-12-01,20812,2,5.1,2.55,0
2009-12-01,20814,1,1.25,1.25,0
2009-12-01,20823,48,204.0,4.25,1
2009-12-01,20825,49,188.76,14.715,0
2009-12-01,20826,48,101.76,2.12,0
2009-12-01,20827,48,101.76,2.12,0
2009-12-01,20828,14,38.32,3.205,1
2009-12-01,20829,6,12.600000000000001,2.1,1
2009-12-01,20830,3,6.300000000000001,2.1,1
2009-12-01,20831,3,6.300000000000001,2.1,1
2009-12-01,20832,1,1.7,1.7,0
2009-12-01,20863,1,4.3,4.3,0
2009-12-01,20865,2,8.6,4.3,0
2009-12-01,20866,4,7.64,1.91,1
2009-12-01,20867,2,2.5,1.25,1
2009-12-01,20870,24,35.1,1.675,1
2009-12-01,20886,42,86.6,2.733333333333333,1
2009-12-01,20887,5,34.57,6.336666666666667,1
2009-12-01,20888,1,6.04,6.04,0
2009-12-01,20892,10,57.1,8.35,1
2009-12-01,20894,1,2.95,2.95,1
2009-12-01,20897,3,11.940000000000001,4.495,1
2009-12-01,20901,6,38.099999999999994,6.35,1
2009-12-01,20903,1,13.0,13.0,0
2009-12-01,20913,1,6.04,6.04,0
2009-12-01,20914,20,62.09000000000001,3.7225,1
2009-12-01,20940,2,8.99,4.495,1
2009-12-01,20941,4,5.0,1.25,1
2009-12-01,20942,1,1.25,1.25,0
2009-12-01,20943,6,7.5,1.25,1
2009-12-01,20956,3,3.75,1.25,1
2009-12-01,20960,1,1.25,1.25,1
2009-12-01,20961,3,6.39,1.91,1
2009-12-01,20963,10,12.5,1.25,1
2009-12-01,20964,3,7.6499999999999995,2.55,0
2009-12-01,20966,4,8.959999999999999,1.91,1
2009-12-01,20967,4,15.0,3.75,1
2009-12-01,20968,4,15.0,3.75,1
2009-12-01,20969,5,22.78,5.765000000000001,1
2009-12-01,20970,7,30.28,5.093333333333334,1
2009-12-01,20971,19,23.75,1.25,1
2009-12-01,20972,11,15.07,1.514,1
2009-12-01,20974,4,3.25,0.9750000000000001,1
2009-12-01,20975,45,29.900000000000002,0.7583333333333334,1
2009-12-01,20977,12,21.6,1.58,1
2009-12-01,20978,17,22.57,1.91,1
2009-12-01,20979,39,52.71,1.58,1
2009-12-01,20980,1,2.57,2.57,0
2009-12-01,20981,4,5.949999999999999,1.275,1
2009-12-01,20982,28,25.5,1.0625,1
2009-12-01,20983,27,23.799999999999997,1.0625,1
2009-12-01,20984,14,12.75,1.1333333333333333,1
2009-12-01,20987,9,19.9,2.733333333333333,1
2009-12-01,20989,4,7.8,1.95,1
2009-12-01,20991,1,1.3,1.3,0
2009-12-01,20992,3,2.55,0.85,1
2009-12-01,20994,3,2.55,0.85,0
2009-12-01,21004,10,46.9,5.13,1
2009-12-01,21012,1,4.3,4.3,0
2009-12-01,21014,4,3.4,0.85,1
2009-12-01,21015,4,3.4,0.85,1
2009-12-01,21016,6,5.1,0.85,1
2009-12-01,21017,192,138.24,0.72,1
2009-12-01,21018,1,0.85,0.85,1
2009-12-01,21025,3,5.07,1.91,1
2009-12-01,21031,4,5.0,1.25,1
2009-12-01,21033,30,60.0,2.0,1
2009-12-01,21034,17,16.15,0.95,0
2009-12-01,21035,13,41.440000000000005,4.495,1
2009-12-01,21039,18,45.9,2.55,1
2009-12-01,21041,23,74.03,3.9800000000000004,1
2009-12-01,21042,4,30.85,9.475,1
2009-12-01,21055,1,17.35,17.35,0
2009-12-01,21058,6,7.6499999999999995,1.275,1
2009-12-01,21063,4,3.4,0.85,1
2009-12-01,21064,1,12.13,12.13,0
2009-12-01,21066,2,2.5,1.25,1
2009-12-01,21067,8,10.0,1.25,1
2009-12-01,21068,1,1.25,1.25,1
2009-12-01,21069,3,5.07,1.91,1
2009-12-01,21070,2,2.5,1.25,1
2009-12-01,21071,6,12.78,1.6900000000000002,1
2009-12-01,21080,36,32.3,1.02,1
2009-12-01,21081,1,0.85,0.85,0
2009-12-01,21082,12,10.2,0.85,1
2009-12-01,21085,24,15.600000000000001,0.65,1
2009-12-01,21086,33,21.45,0.65,1
2009-12-01,21091,12,10.2,0.85,1
2009-12-01,21094,26,22.099999999999998,0.85,1
2009-12-01,21098,35,62.23,1.58,1
2009-12-01,21099,24,15.600000000000001,0.65,1
2009-12-01,21100,62,87.3,1.525,1
2009-12-01,21108,15,53.97,4.296666666666667,1
2009-12-01,21110,1,13.87,13.87,0
2009-12-01,21111,6,17.700000000000003,2.95,1
2009-12-01,21112,6,17.700000000000003,2.95,1
2009-12-01,21114,15,18.75,1.25,1
2009-12-01,21115,2,21.490000000000002,10.745000000000001,1
2009-12-01,21116,16,138.4,8.65,0
2009-12-01,21121,48,60.0,1.25,1
2009-12-01,21122,32,41.32,1.47,1
2009-12-01,21124,31,40.07,1.514,1
2009-12-01,21125,1,1.25,1.25,1
2009-12-01,21126,1,1.25,1.25,1
2009-12-01,21133,66,111.54,1.69,1
2009-12-01,21134,1,26.04,26.04,0
2009-12-01,21136,40,67.6,1.6900000000000002,1
2009-12-01,21137,24,81.36,3.39,1
2009-12-01,21143,8,17.95,3.125,1
2009-12-01,21145,1,14.74,14.74,0
2009-12-01,21153,1,21.7,21.7,0
2009-12-01,21154,2,5.14,2.57,1
2009-12-01,21155,16,33.6,2.1,1
2009-12-01,21156,32,62.4,1.95,1
2009-12-01,21157,1,4.3,4.3,0
2009-12-01,21159,12,17.4,1.45,1
2009-12-01,21160,1,3.43,3.43,0
2009-12-01,21161,15,21.75,1.45,1
2009-12-01,21162,17,24.65,1.45,1
